hour,0
0,36
1,68
2,108
3,271
4,395
5,437
6,487
7,520
8,546
9,509
10,558
11,458
12,404
13,351
14,338
15,383
16,320
17,327
18,253
19,160
20,96
21,58
22,32
23,28
